"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","purpose","addr_state","dti","delinq_2yrs","inq_last_6mths","loan_status_Binary"
10000," 36 months",11.71,330.76,"B","B3","10+ years","OWN",50000,"Source Verified","11-Dec","credit_card","TX",11.18,0,0,"0"
10000," 36 months",11.71,330.76,"B","B3","5 years","RENT",50000,"Not Verified","11-Dec","debt_consolidation","CA",16.01,0,0,"0"
6000," 36 months",11.71,198.46,"B","B3","1 year","RENT",76000,"Not Verified","11-Dec","major_purchase","CA",2.4,0,1,"1"
15000," 36 months",9.91,483.38,"B","B1","2 years","MORTGAGE",92000,"Verified","11-Dec","credit_card","IL",29.44,0,0,"0"
15000," 36 months",14.27,514.64,"C","C2","9 years","RENT",60000,"Not Verified","11-Dec","debt_consolidation","NY",15.22,0,1,"1"
5000," 60 months",16.77,123.65,"D","D2","2 years","RENT",50004,"Not Verified","11-Dec","other","PA",13.97,3,0,"1"
4000," 36 months",11.71,132.31,"B","B3","10+ years","MORTGAGE",106000,"Not Verified","11-Dec","debt_consolidation","FL",5.63,1,0,"0"
8500," 36 months",11.71,281.15,"B","B3","< 1 year","RENT",25000,"Source Verified","11-Dec","credit_card","MN",12.19,0,0,"0"
4375," 36 months",7.51,136.11,"A","A3","7 years","MORTGAGE",17108,"Source Verified","11-Dec","debt_consolidation","NY",20.34,0,0,"0"
31825," 36 months",7.9,995.82,"A","A4","5 years","MORTGAGE",75000,"Verified","11-Dec","debt_consolidation","NJ",14.03,0,0,"0"
10000," 60 months",15.96,242.97,"C","C5","2 years","RENT",29120,"Verified","11-Dec","debt_consolidation","FL",22.83,0,1,"0"
5000," 36 months",8.9,158.77,"A","A5","2 years","RENT",24044,"Verified","11-Dec","debt_consolidation","OR",11.93,0,0,"0"
7000," 36 months",15.96,245.97,"C","C5","7 years","RENT",34000,"Source Verified","11-Dec","credit_card","CA",6.35,0,1,"0"
12400," 36 months",10.65,403.91,"B","B2","10+ years","RENT",41000,"Not Verified","11-Dec","credit_card","KY",11.8,0,2,"0"
10800," 36 months",9.91,348.03,"B","B1","2 years","RENT",55596,"Source Verified","11-Dec","moving","CA",5.5,0,0,"0"
15000," 36 months",7.9,469.36,"A","A4","1 year","RENT",45000,"Verified","11-Dec","debt_consolidation","OH",8.48,0,0,"0"
6000," 36 months",12.42,200.5,"B","B4","1 year","RENT",36852,"Source Verified","11-Dec","debt_consolidation","AZ",10.62,0,1,"0"
12500," 60 months",12.69,282.44,"B","B5","1 year","RENT",27000,"Verified","11-Dec","debt_consolidation","IL",16.04,0,3,"0"
9600," 36 months",7.51,298.67,"A","A3","4 years","RENT",68004,"Source Verified","11-Dec","other","SC",6.63,0,0,"0"
12000," 36 months",7.9,375.49,"A","A4","10+ years","RENT",62300,"Not Verified","11-Dec","debt_consolidation","NJ",16.7,0,0,"0"
3000," 36 months",18.25,108.84,"D","D5","9 years","MORTGAGE",65000,"Not Verified","11-Dec","other","PA",17.39,0,0,"0"
4400," 36 months",16.77,156.37,"D","D2","10+ years","RENT",55000,"Not Verified","11-Dec","debt_consolidation","RI",20.01,0,0,"0"
6000," 36 months",6.03,182.62,"A","A1","10+ years","MORTGAGE",45600,"Not Verified","11-Dec","debt_consolidation","LA",5.34,0,1,"0"
14000," 36 months",9.91,451.15,"B","B1","6 years","RENT",80000,"Not Verified","11-Dec","small_business","MA",10,0,1,"0"
5000," 36 months",8.9,158.77,"A","A5","10+ years","MORTGAGE",1e+05,"Source Verified","11-Dec","debt_consolidation","OH",16.33,0,0,"1"
10000," 36 months",10.65,325.74,"B","B2","6 years","RENT",27000,"Verified","11-Dec","other","NY",11.47,0,0,"0"
10000," 36 months",6.03,304.36,"A","A1","10+ years","RENT",60000,"Not Verified","11-Dec","credit_card","CT",12.74,0,1,"0"
11000," 36 months",6.62,337.75,"A","A2","5 years","RENT",70000,"Not Verified","11-Dec","debt_consolidation","CT",10.85,0,0,"0"
15000," 36 months",9.91,483.38,"B","B1","8 years","MORTGAGE",80000,"Not Verified","11-Dec","debt_consolidation","IL",9.12,0,2,"1"
25600," 36 months",9.91,824.96,"B","B1","9 years","RENT",110000,"Verified","11-Dec","credit_card","CA",15.71,0,0,"0"
7000," 36 months",10.65,228.02,"B","B2","< 1 year","RENT",40000,"Not Verified","11-Dec","debt_consolidation","CA",7.38,0,0,"0"
12000," 36 months",15.96,421.65,"C","C5","4 years","RENT",50000,"Not Verified","11-Dec","car","CA",20.88,0,2,"1"
12000," 36 months",9.91,386.7,"B","B1","1 year","RENT",46000,"Not Verified","11-Dec","credit_card","TX",8.11,0,1,"0"
21000," 60 months",19.91,555.33,"E","E4","7 years","RENT",50000,"Verified","11-Dec","debt_consolidation","WA",21.58,0,1,"1"
16000," 60 months",19.91,423.11,"E","E4","7 years","RENT",81000,"Verified","11-Dec","credit_card","MA",20.52,0,3,"0"
10000," 36 months",12.42,334.16,"B","B4","< 1 year","OWN",39000,"Not Verified","11-Dec","debt_consolidation","OR",18.58,0,0,"0"
10000," 36 months",10.65,325.74,"B","B2","2 years","RENT",51400,"Not Verified","11-Dec","credit_card","TX",19.14,0,3,"0"
7100," 36 months",16.77,252.33,"D","D2","1 year","MORTGAGE",33000,"Verified","11-Dec","debt_consolidation","TX",24,0,2,"0"
13000," 60 months",12.69,293.74,"B","B5","< 1 year","MORTGAGE",30000,"Source Verified","11-Dec","debt_consolidation","NJ",13.72,0,0,"0"
17500," 60 months",17.27,223.74,"D","D3","6 years","RENT",40000,"Verified","11-Dec","small_business","CA",19.47,0,1,"0"
17675," 60 months",14.65,417.25,"C","C3","< 1 year","RENT",50000,"Source Verified","11-Dec","debt_consolidation","WI",16.46,0,2,"0"
8000," 36 months",16.77,284.31,"D","D2","< 1 year","RENT",62000,"Not Verified","11-Dec","debt_consolidation","VA",21.64,0,3,"0"
10000," 60 months",10.65,215.69,"B","B2","10+ years","RENT",45996,"Verified","11-Dec","debt_consolidation","OH",21.73,0,1,"1"
3500," 36 months",10.65,114.01,"B","B2","7 years","MORTGAGE",55000,"Not Verified","11-Dec","debt_consolidation","OH",5.39,0,1,"0"
12500," 60 months",17.27,223.11,"D","D3","5 years","RENT",30000,"Source Verified","11-Dec","debt_consolidation","MN",13.16,0,0,"1"
16425," 36 months",14.27,563.53,"C","C2","4 years","RENT",44544,"Source Verified","11-Dec","debt_consolidation","CA",22.71,0,1,"0"
8200," 60 months",21.28,223.14,"F","F2","4 years","RENT",75000,"Source Verified","11-Dec","small_business","CA",12.48,0,3,"1"
15000," 36 months",14.65,517.42,"C","C3","2 years","OWN",61000,"Verified","11-Dec","credit_card","FL",11.88,0,1,"0"
20975," 60 months",17.58,341.63,"D","D4","5 years","MORTGAGE",44000,"Verified","11-Dec","credit_card","GA",18.79,0,0,"0"
6400," 36 months",16.77,227.45,"D","D2","5 years","RENT",75000,"Not Verified","11-Dec","debt_consolidation","CA",20.22,0,0,"1"
3000," 36 months",13.49,101.8,"C","C1","1 year","RENT",33600,"Not Verified","11-Dec","debt_consolidation","AL",18.11,0,0,"0"
12000," 36 months",16.77,426.47,"D","D2","3 years","RENT",50000,"Not Verified","11-Dec","credit_card","MA",20.57,0,1,"0"
14400," 36 months",8.9,457.25,"A","A5","< 1 year","OWN",150000,"Source Verified","11-Dec","debt_consolidation","NY",14.85,0,0,"0"
12000," 36 months",14.65,413.94,"C","C3","10+ years","RENT",90000,"Not Verified","11-Dec","debt_consolidation","NJ",16.56,0,2,"0"
11000," 36 months",13.49,373.24,"C","C1","10+ years","MORTGAGE",48000,"Verified","11-Dec","debt_consolidation","TX",21.82,0,3,"0"
7250," 60 months",21.67,197.51,"F","F3","< 1 year","RENT",75000,"Verified","11-Dec","debt_consolidation","CA",24.82,0,2,"0"
15000," 36 months",7.9,469.36,"A","A4","1 year","MORTGAGE",52000,"Not Verified","11-Dec","small_business","TX",9.65,0,1,"0"
18000," 60 months",19.91,475.99,"E","E4","10+ years","MORTGAGE",65000,"Not Verified","11-Dec","debt_consolidation","FL",6.81,0,0,"0"
35000," 60 months",17.27,551.84,"D","D3","3 years","MORTGAGE",150000,"Verified","11-Dec","home_improvement","NY",7.51,0,1,"0"
10000," 36 months",14.27,343.09,"C","C2","2 years","RENT",68000,"Source Verified","11-Dec","credit_card","PA",15.39,0,1,"0"
11800," 36 months",12.69,395.83,"B","B5","6 years","RENT",42000,"Source Verified","11-Dec","credit_card","NY",9.86,0,0,"0"
4500," 36 months",6.03,136.96,"A","A1","4 years","RENT",53000,"Source Verified","11-Dec","major_purchase","CA",4.44,0,0,"0"
7000," 36 months",12.69,234.82,"B","B5","10+ years","RENT",35000,"Source Verified","11-Dec","credit_card","CA",11.35,0,2,"0"
9200," 36 months",12.42,307.43,"B","B4","2 years","RENT",60000,"Source Verified","11-Dec","debt_consolidation","CA",19.96,0,3,"0"
14000," 60 months",17.27,349.98,"D","D3","4 years","RENT",28000,"Verified","11-Dec","other","WA",6.34,0,2,"0"
4500," 60 months",10.65,97.06,"B","B2","< 1 year","MORTGAGE",42000,"Source Verified","11-Dec","car","TX",5.4,0,0,"0"
12000," 36 months",16.29,423.61,"D","D1","9 years","RENT",88365,"Verified","11-Dec","debt_consolidation","AZ",16.85,0,0,"0"
12000," 36 months",13.49,407.17,"C","C1","4 years","RENT",72000,"Source Verified","11-Dec","debt_consolidation","CA",21.33,0,1,"0"
12000," 36 months",10.65,390.88,"B","B2","< 1 year","RENT",62000,"Verified","11-Dec","credit_card","TX",23.94,0,0,"0"
7000," 36 months",10.65,228.02,"B","B2","3 years","MORTGAGE",43680,"Not Verified","11-Dec","credit_card","MN",5.38,0,0,"0"
8200," 60 months",19.42,214.62,"E","E3","3 years","RENT",120000,"Source Verified","11-Dec","debt_consolidation","NY",2.8,0,2,"0"
10500," 36 months",12.69,352.23,"B","B5","10+ years","RENT",66000,"Verified","11-Dec","medical","CA",20.73,1,2,"0"
7000," 36 months",11.71,231.54,"B","B3","4 years","OWN",39120,"Not Verified","11-Dec","debt_consolidation","FL",21.01,0,0,"0"
15300," 60 months",22.06,423.1,"F","F4","6 years","RENT",85000,"Verified","11-Dec","credit_card","VA",20.58,0,2,"0"
20000," 60 months",11.71,282.86,"B","B3","4 years","MORTGAGE",47800,"Verified","11-Dec","debt_consolidation","VA",10.04,0,0,"0"
17500," 60 months",17.27,437.47,"D","D3","7 years","MORTGAGE",45000,"Not Verified","11-Dec","credit_card","WA",21.31,0,2,"1"
3500," 36 months",6.03,106.53,"A","A1","10+ years","MORTGAGE",83000,"Verified","11-Dec","car","IL",2.31,0,0,"0"
6000," 60 months",12.69,135.57,"B","B5","< 1 year","RENT",81000,"Source Verified","11-Dec","major_purchase","CO",13.66,1,0,"0"
6200," 36 months",9.91,199.8,"B","B1","2 years","RENT",25000,"Not Verified","11-Dec","debt_consolidation","CA",20.64,0,2,"1"
16000," 60 months",17.58,402.65,"D","D4","7 years","RENT",65000,"Not Verified","11-Dec","debt_consolidation","KS",15.56,0,0,"0"
6000," 36 months",8.9,190.52,"A","A5","8 years","OWN",28800,"Not Verified","11-Dec","debt_consolidation","NJ",13.17,0,0,"0"
7200," 36 months",9.91,232.02,"B","B1","6 years","RENT",135000,"Not Verified","11-Dec","credit_card","NY",6.12,0,0,"0"
9500," 36 months",8.9,301.66,"A","A5","7 years","MORTGAGE",50000,"Not Verified","11-Dec","credit_card","TX",8.18,0,0,"0"
18825," 60 months",16.77,465.53,"D","D2","10+ years","RENT",38000,"Verified","11-Dec","debt_consolidation","TX",23.18,0,0,"1"
24000," 36 months",10.65,781.76,"B","B2","10+ years","RENT",45000,"Verified","11-Dec","debt_consolidation","CA",14.8,0,0,"0"
6000," 36 months",13.49,203.59,"C","C1","10+ years","RENT",80000,"Not Verified","11-Dec","debt_consolidation","CA",11.58,0,0,"0"
6000," 36 months",13.49,203.59,"C","C1","5 years","RENT",50000,"Not Verified","11-Dec","debt_consolidation","AZ",15.38,0,1,"0"
2100," 36 months",12.42,70.18,"B","B4","10+ years","MORTGAGE",30000,"Not Verified","11-Dec","vacation","LA",19.72,0,1,"0"
5500," 36 months",6.62,168.88,"A","A2","8 years","MORTGAGE",110000,"Verified","11-Dec","small_business","CT",9.69,0,0,"0"
11000," 36 months",6.62,337.75,"A","A2","8 years","OWN",45608,"Source Verified","11-Dec","debt_consolidation","LA",20.5,0,0,"0"
26800," 60 months",20.89,723.38,"F","F1","3 years","MORTGAGE",120000,"Verified","11-Dec","debt_consolidation","FL",12.15,0,0,"0"
8000," 36 months",12.69,268.36,"B","B5","5 years","MORTGAGE",35000,"Not Verified","11-Dec","debt_consolidation","IL",10.05,0,0,"0"
10000," 36 months",18.25,362.78,"D","D5","1 year","RENT",75000,"Source Verified","11-Dec","credit_card","CA",24.14,0,0,"1"
8000," 36 months",11.71,264.61,"B","B3","9 years","MORTGAGE",35000,"Verified","11-Dec","credit_card","NV",9.7,0,0,"0"
10000," 36 months",8.9,317.54,"A","A5","6 years","RENT",24000,"Verified","11-Dec","debt_consolidation","CA",7,0,0,"0"
12000," 36 months",11.71,396.92,"B","B3","2 years","MORTGAGE",126000,"Not Verified","11-Dec","debt_consolidation","OH",13.32,0,0,"0"
10000," 36 months",7.9,312.91,"A","A4","1 year","RENT",43000,"Not Verified","11-Dec","debt_consolidation","CA",25.26,0,0,"0"
12000," 36 months",9.91,386.7,"B","B1","1 year","RENT",50000,"Not Verified","11-Dec","debt_consolidation","CA",16.44,0,1,"0"
25000," 60 months",13.49,575.12,"C","C1","10+ years","MORTGAGE",67000,"Verified","11-Dec","credit_card","AK",14.15,0,0,"1"
19750," 36 months",10.65,643.33,"B","B2","4 years","RENT",45000,"Verified","11-Dec","debt_consolidation","OR",22.8,0,0,"1"
10000," 36 months",9.91,322.25,"B","B1","3 years","RENT",31200,"Source Verified","11-Dec","debt_consolidation","NY",14.81,0,0,"0"
13650," 36 months",12.42,456.12,"B","B4","4 years","RENT",66000,"Verified","11-Dec","debt_consolidation","NV",24.09,0,0,"0"
28000," 60 months",19.91,312.04,"E","E4","10+ years","RENT",52000,"Verified","11-Dec","debt_consolidation","TX",20.7,0,0,"1"
18000," 36 months",7.9,563.23,"A","A4","10+ years","RENT",56964,"Source Verified","11-Dec","debt_consolidation","CA",27.55,0,0,"0"
2500," 36 months",14.27,85.78,"C","C2","7 years","RENT",49500,"Source Verified","11-Dec","debt_consolidation","FL",10.33,0,1,"0"
21000," 60 months",20.3,559.89,"E","E5","10+ years","RENT",70000,"Verified","11-Dec","credit_card","CO",23.21,0,2,"0"
35000," 36 months",8.9,1111.37,"A","A5","6 years","MORTGAGE",125000,"Verified","11-Dec","debt_consolidation","CA",22.71,0,0,"0"
10000," 36 months",7.51,311.11,"A","A3","3 years","RENT",33000,"Not Verified","11-Dec","credit_card","NJ",9.75,0,1,"0"
7000," 36 months",12.69,234.82,"B","B5","< 1 year","RENT",30000,"Source Verified","11-Dec","credit_card","VA",15.8,0,2,"0"
24000," 36 months",15.96,843.3,"C","C5","8 years","MORTGAGE",90000,"Source Verified","11-Dec","home_improvement","CA",9.17,0,1,"1"
10625," 36 months",7.51,330.56,"A","A3","5 years","MORTGAGE",23000,"Not Verified","11-Dec","medical","OR",18.89,0,1,"0"
5000," 36 months",14.65,172.48,"C","C3","2 years","RENT",24000,"Source Verified","11-Dec","debt_consolidation","PA",18.3,0,2,"0"
8850," 36 months",6.62,271.73,"A","A2","10+ years","RENT",62000,"Source Verified","11-Dec","credit_card","MD",17.71,0,0,"0"
6375," 36 months",7.51,198.34,"A","A3","4 years","RENT",44000,"Source Verified","11-Dec","debt_consolidation","GA",4.8,0,0,"0"
6000," 36 months",11.71,198.46,"B","B3","1 year","RENT",90000,"Not Verified","11-Dec","credit_card","NJ",2.97,1,0,"0"
11100," 36 months",6.62,340.82,"A","A2","10+ years","RENT",41000,"Verified","11-Dec","credit_card","PA",29.85,0,1,"1"
10000," 60 months",12.69,225.95,"B","B5","2 years","MORTGAGE",56000,"Source Verified","11-Dec","debt_consolidation","CA",10.82,0,1,"0"
6200," 36 months",6.03,188.71,"A","A1","5 years","MORTGAGE",26500,"Not Verified","11-Dec","small_business","WV",18.2,0,0,"0"
15000," 36 months",18.64,547.12,"E","E1","1 year","RENT",54000,"Not Verified","11-Dec","debt_consolidation","GA",19.69,0,2,"0"
4200," 36 months",11.71,138.92,"B","B3","2 years","RENT",53000,"Not Verified","11-Dec","other","MD",16.91,0,0,"0"
14000," 36 months",14.27,480.33,"C","C2","4 years","RENT",52800,"Not Verified","11-Dec","debt_consolidation","CA",7.36,0,1,"0"
8875," 36 months",7.51,276.11,"A","A3","1 year","MORTGAGE",38000,"Not Verified","11-Dec","debt_consolidation","GA",23.53,0,1,"0"
13500," 36 months",9.91,435.04,"B","B1","7 years","RENT",38000,"Verified","11-Dec","debt_consolidation","CA",12.38,0,1,"0"
12000," 36 months",9.91,386.7,"B","B1","2 years","RENT",42000,"Not Verified","11-Dec","debt_consolidation","MN",7.83,0,2,"1"
16000," 60 months",19.91,423.11,"E","E4","4 years","RENT",55000,"Verified","11-Dec","debt_consolidation","WA",15.8,0,0,"0"
21600," 60 months",19.42,565.32,"E","E3","8 years","MORTGAGE",60000,"Source Verified","11-Dec","debt_consolidation","GA",16.74,1,0,"0"
6000," 36 months",10.65,195.44,"B","B2","6 years","MORTGAGE",87000,"Not Verified","11-Dec","home_improvement","NJ",12.86,2,0,"0"
8450," 60 months",16.77,208.97,"D","D2","5 years","OWN",25000,"Verified","11-Dec","debt_consolidation","IL",22.51,0,2,"0"
20000," 60 months",13.49,460.1,"C","C1","1 year","RENT",82000,"Not Verified","11-Dec","credit_card","OH",17.68,0,0,"0"
10000," 36 months",11.71,330.76,"B","B3","8 years","RENT",60000,"Not Verified","11-Dec","debt_consolidation","CA",22.08,0,0,"1"
12000," 36 months",16.29,423.61,"D","D1","5 years","MORTGAGE",80000,"Verified","11-Dec","credit_card","GA",18.18,0,0,"0"
13475," 60 months",13.49,309.99,"C","C1","10+ years","RENT",25000,"Verified","11-Dec","credit_card","CA",21.89,0,1,"1"
7200," 36 months",12.42,240.59,"B","B4","5 years","RENT",48000,"Not Verified","11-Dec","major_purchase","IL",17.43,0,1,"0"
5600," 36 months",14.65,193.17,"C","C3","1 year","MORTGAGE",85000,"Not Verified","11-Dec","debt_consolidation","AZ",12.24,1,3,"1"
12000," 36 months",14.27,411.71,"C","C2","< 1 year","RENT",57000,"Verified","11-Dec","debt_consolidation","CA",10.86,0,1,"0"
8500," 36 months",6.03,258.71,"A","A1","2 years","RENT",25000,"Not Verified","11-Dec","credit_card","MD",1.73,0,0,"0"
8000," 36 months",9.91,257.8,"B","B1","2 years","RENT",34000,"Source Verified","11-Dec","credit_card","PA",18.28,0,0,"0"
8000," 36 months",12.42,267.33,"B","B4","10+ years","RENT",40000,"Not Verified","11-Dec","credit_card","OR",15,0,0,"0"
16000," 60 months",15.27,382.92,"C","C4","10+ years","RENT",42656.4,"Source Verified","11-Dec","debt_consolidation","GA",17.44,0,1,"0"
15000," 36 months",17.27,536.81,"D","D3","2 years","MORTGAGE",44400,"Source Verified","11-Dec","house","FL",3.59,1,0,"0"
10000," 36 months",9.91,322.25,"B","B1","2 years","OWN",30000,"Not Verified","11-Dec","debt_consolidation","VT",11.24,0,1,"0"
10000," 36 months",6.62,307.04,"A","A2","5 years","MORTGAGE",70000,"Not Verified","11-Dec","credit_card","NY",16.78,0,0,"0"
8000," 36 months",14.65,275.96,"C","C3","3 years","RENT",28000,"Not Verified","11-Dec","car","CA",12.6,0,1,"0"
22000," 36 months",9.91,708.95,"B","B1","2 years","MORTGAGE",50000,"Verified","11-Dec","debt_consolidation","MI",13.22,0,4,"0"
6000," 36 months",14.27,205.86,"C","C2","10+ years","MORTGAGE",94800,"Verified","11-Dec","car","TX",24.53,0,1,"0"
16000," 60 months",9.91,339.25,"B","B1","10+ years","OWN",40000,"Verified","11-Dec","debt_consolidation","FL",9.39,0,1,"0"
2500," 36 months",7.51,77.78,"A","A3","n/a","OWN",12000,"Source Verified","11-Dec","debt_consolidation","CA",16.3,0,2,"1"
13500," 36 months",9.91,435.04,"B","B1","2 years","MORTGAGE",36000,"Source Verified","11-Dec","credit_card","DC",22.93,0,1,"0"
25000," 36 months",12.42,835.39,"B","B4","2 years","RENT",225000,"Verified","11-Dec","debt_consolidation","NJ",8.32,1,0,"0"
10000," 36 months",13.49,339.31,"C","C1","2 years","RENT",45900,"Verified","11-Dec","small_business","CA",24.97,0,2,"0"
2500," 36 months",13.49,84.83,"C","C1","4 years","RENT",27200,"Not Verified","11-Dec","debt_consolidation","WA",6.44,0,0,"0"
7325," 36 months",12.69,245.72,"B","B5","1 year","RENT",42000,"Not Verified","11-Dec","debt_consolidation","FL",22.57,0,3,"0"
4000," 36 months",12.42,133.67,"B","B4","5 years","RENT",135000,"Verified","11-Dec","credit_card","NY",12.12,0,3,"0"
10000," 36 months",13.49,339.31,"C","C1","5 years","RENT",65000,"Not Verified","11-Dec","small_business","CA",6.92,1,2,"1"
7750," 36 months",17.27,277.36,"D","D3","< 1 year","RENT",24000,"Not Verified","11-Dec","debt_consolidation","IL",16.1,0,1,"1"
20000," 60 months",20.89,539.84,"F","F1","6 years","RENT",70000,"Source Verified","11-Dec","debt_consolidation","FL",16.63,0,1,"1"
9600," 36 months",12.42,320.79,"B","B4","10+ years","RENT",65000,"Verified","11-Dec","debt_consolidation","NY",11.65,0,0,"0"
21000," 60 months",11.71,464.07,"B","B3","3 years","RENT",60000,"Not Verified","11-Dec","debt_consolidation","CA",6.62,0,0,"1"
14000," 36 months",10.65,456.03,"B","B2","3 years","RENT",30000,"Source Verified","11-Dec","credit_card","CT",15.52,0,0,"0"
13350," 36 months",12.42,446.1,"B","B4","10+ years","RENT",43000,"Not Verified","11-Dec","debt_consolidation","CA",20.57,0,0,"0"
15000," 36 months",16.77,533.08,"D","D2","10+ years","RENT",42000,"Verified","11-Dec","debt_consolidation","WI",19.63,0,2,"1"
15000," 36 months",17.27,536.81,"D","D3","8 years","RENT",75000,"Source Verified","11-Dec","debt_consolidation","CA",16.03,0,0,"1"
11000," 60 months",13.49,253.06,"C","C1","10+ years","MORTGAGE",129000,"Verified","11-Dec","debt_consolidation","CA",10.94,0,0,"0"
35000," 36 months",10.65,1140.07,"B","B2","2 years","MORTGAGE",168000,"Verified","11-Dec","debt_consolidation","TX",3.17,1,1,"0"
9000," 36 months",10.65,293.16,"B","B2","9 years","MORTGAGE",74000,"Source Verified","11-Dec","credit_card","SD",8.89,0,0,"0"
22475," 60 months",15.27,537.87,"C","C4","7 years","MORTGAGE",52000,"Verified","11-Dec","debt_consolidation","NH",15.23,0,1,"0"
16000," 36 months",12.69,536.72,"B","B5","1 year","RENT",58500,"Source Verified","11-Dec","debt_consolidation","IL",20.64,0,0,"1"
13500," 36 months",12.69,452.86,"B","B5","5 years","RENT",71000,"Source Verified","11-Dec","debt_consolidation","VA",11.97,0,2,"0"
24000," 36 months",12.69,805.08,"B","B5","10+ years","RENT",75000,"Verified","11-Dec","debt_consolidation","WA",11.6,0,0,"0"
12000," 36 months",10.65,390.88,"B","B2","5 years","RENT",60000,"Not Verified","11-Dec","credit_card","CA",10.84,0,1,"0"
8400," 60 months",16.77,207.73,"D","D2","5 years","RENT",87996,"Not Verified","11-Dec","major_purchase","NY",11.35,0,0,"0"
28000," 60 months",17.58,704.64,"D","D4","5 years","MORTGAGE",140000,"Verified","11-Dec","home_improvement","NC",12.07,0,1,"0"
14000," 36 months",6.62,429.86,"A","A2","10+ years","RENT",66000,"Source Verified","11-Dec","debt_consolidation","VA",11.15,0,1,"0"
12000," 36 months",14.27,411.71,"C","C2","8 years","MORTGAGE",70000,"Not Verified","11-Dec","other","NY",8.4,0,1,"1"
25000," 36 months",11.71,826.9,"B","B3","10+ years","MORTGAGE",1e+05,"Verified","11-Dec","debt_consolidation","RI",6.88,0,1,"0"
9000," 36 months",12.69,301.91,"B","B5","5 years","RENT",50000,"Source Verified","11-Dec","debt_consolidation","NY",17.81,0,1,"0"
13250," 36 months",10.65,431.6,"B","B2","4 years","RENT",35000,"Not Verified","11-Dec","debt_consolidation","OH",24.93,0,2,"0"
20000," 36 months",13.49,678.61,"C","C1","6 years","RENT",75000,"Verified","11-Dec","debt_consolidation","CA",22.38,0,1,"0"
3000," 36 months",14.65,103.49,"C","C3","5 years","RENT",71000,"Verified","11-Dec","medical","WI",21.84,0,1,"0"
7350," 36 months",10.65,239.42,"B","B2","10+ years","MORTGAGE",48000,"Not Verified","11-Dec","debt_consolidation","AR",11.93,0,0,"0"
